nb,vertices,support
639,"[190162, 190624, 190166, 246171, 191040]",87
640,"[190162, 190624, 190166, 246171, 190824]",87
641,"[190162, 190624, 190166, 246171, 271009]",87
642,"[190162, 190624, 190166, 246171, 670716]",87
643,"[190162, 190624, 190166, 246171, 1059712]",87
644,"[190162, 190624, 190166, 246171, 254723]",87
81,"[190166, 246171, 190624, 190629, 670716]",87
646,"[190162, 190624, 190166, 190629]",87
647,"[190162, 190624, 190166, 190629, 271009]",87
648,"[190162, 190624, 190166, 190629, 246171]",87
649,"[190162, 190624, 190166, 190629, 191040]",87
80,"[190166, 246171, 190624, 190629, 271009]",87
651,"[190162, 190624, 190166, 190629, 271009]",87
652,"[190162, 190624, 190166, 190629, 246171]",87
653,"[190162, 190624, 190166, 190629, 670716]",87
79,"[190166, 246171, 190624, 190629]",87
78,"[190166, 246171, 190624, 271009, 254723]",87
656,"[190162, 190624, 190166, 190629, 246171]",87
657,"[190162, 190624, 190166, 670716]",87
791,"[190162, 190166, 271009, 190624]",87
795,"[190162, 190166, 271009, 190624, 190629]",87
793,"[190162, 190166, 271009, 190624, 1059712]",87
929,"[190162, 190166, 190624, 190629]",87
21,"[190166, 271009, 190624, 191040]",87
932,"[190162, 190166, 190624, 190629, 670716]",87
20,"[190166, 271009, 190624, 190629, 190824]",87
19,"[190166, 271009, 190624, 190629, 191040]",87
18,"[190166, 271009, 190624, 190629, 246171]",87
936,"[190162, 190166, 190624, 190629, 246171]",87
937,"[190162, 190166, 190624, 190629, 191040]",87
938,"[190162, 190166, 190624, 190629, 190824]",87
939,"[190162, 190166, 190624, 190629, 254723]",87
940,"[190162, 190166, 190624, 190629, 246171]",87
941,"[190162, 190166, 190624, 191040]",87
942,"[190162, 190166, 190624, 191040, 271009]",87
943,"[190162, 190166, 190624, 191040, 246171]",87
944,"[190162, 190166, 190624, 191040, 190629]",87
945,"[190162, 190166, 190624, 191040, 670716]",87
946,"[190162, 190166, 190624, 191040, 190824]",87
947,"[190162, 190166, 190624, 191040, 1059712]",87
948,"[190162, 190166, 190624, 191040, 271009]",87
949,"[190162, 190166, 190624, 191040, 246171]",87
17,"[190166, 271009, 190624, 190629, 1059712]",87
16,"[190166, 271009, 190624, 190629, 670716]",87
952,"[190162, 190166, 190624, 190824, 271009]",87
953,"[190162, 190166, 190624, 190824, 246171]",87
22,"[190166, 271009, 190624, 191040, 670716]",87
23,"[190166, 271009, 190624, 191040, 1059712]",87
955,"[190162, 190166, 190624, 190824, 670716]",87
927,"[190162, 190166, 190624, 246171, 254723]",87
903,"[190162, 190166, 190624, 670716]",87
904,"[190162, 190166, 190624, 670716, 1059712]",87
906,"[190162, 190166, 190624, 190824, 271009]",87
29,"[190166, 271009, 190624, 190824, 191040]",87
908,"[190162, 190166, 190624, 190824, 670716]",87
28,"[190166, 271009, 190624, 190824, 246171]",87
27,"[190166, 271009, 190624, 190824, 1059712]",87
26,"[190166, 271009, 190624, 190824, 670716]",87
912,"[190162, 190166, 190624, 271009]",87
25,"[190166, 271009, 190624, 190824]",87
914,"[190162, 190166, 190624, 271009, 190629]",87
915,"[190162, 190166, 190624, 271009, 670716]",87
24,"[190166, 271009, 190624, 191040, 246171]",87
917,"[190162, 190166, 190624, 271009, 1059712]",87
918,"[190162, 190166, 190624, 271009, 254723]",87
919,"[190162, 190166, 190624, 246171]",87
920,"[190162, 190166, 190624, 246171]",87
921,"[190162, 190166, 190624, 246171, 271009]",87
922,"[190162, 190166, 190624, 246171, 190629]",87
923,"[190162, 190166, 190624, 246171, 670716]",87
924,"[190162, 190166, 190624, 246171, 190824]",87
925,"[190162, 190166, 190624, 246171, 1059712]",87
926,"[190162, 190166, 190624, 246171, 271009]",87
15,"[190166, 271009, 190624, 190629]",87
14,"[190166, 271009, 190624, 246171, 254723]",87
794,"[190162, 190166, 271009, 190624, 246171]",87
983,"[190162, 190166, 190824, 246171, 670716]",87
985,"[190162, 190166, 190824, 246171, 254723]",87
986,"[190162, 190166, 190824, 246171, 190624]",87
987,"[190162, 190166, 190824, 670716]",87
988,"[190162, 190166, 190824, 670716, 190624]",87
989,"[190162, 190166, 190824, 670716, 1059712]",87
10,"[190166, 271009, 190624, 1059712]",87
9,"[190166, 271009, 190624, 670716, 1059712]",87
8,"[190166, 271009, 190624, 670716]",87
7,"[190166, 271009, 190624]",87
994,"[190162, 190166, 190824, 190624, 271009]",87
995,"[190162, 190166, 190824, 190624, 246171]",87
996,"[190162, 190166, 190824, 190624, 670716]",87
5,"[190166, 271009, 670716, 1059712]",87
998,"[190162, 190166, 190824, 190624, 271009]",87
999,"[190162, 190166, 190824, 190624, 246171]",87
1000,"[190162, 190166, 190824, 190624, 190629]",87
1001,"[190162, 190166, 190824, 190624, 191040]",87
4,"[190166, 271009, 670716]",87
2,"[190624, 271009, 254723]",87
1004,"[190162, 190166, 1059712, 190624, 271009]",87
1005,"[190162, 190166, 1059712, 190624, 246171]",87
1006,"[190162, 190166, 1059712, 190624, 190629]",87
1007,"[190162, 190166, 1059712, 190624, 191040]",87
984,"[190162, 190166, 190824, 246171, 1059712]",87
982,"[190162, 190166, 190824, 246171, 271009]",87
957,"[190162, 190166, 190624, 190824, 271009]",87
981,"[190162, 190166, 190824, 246171, 190624]",87
958,"[190162, 190166, 190624, 190824, 246171]",87
959,"[190162, 190166, 190624, 190824, 191040]",87
960,"[190162, 190166, 670716]",87
961,"[190162, 190166, 670716, 190624]",87
962,"[190162, 190166, 670716, 190624, 271009]",87
963,"[190162, 190166, 670716, 190624, 246171]",87
964,"[190162, 190166, 670716, 190624, 190629]",87
965,"[190162, 190166, 670716, 190624, 191040]",87
966,"[190162, 190166, 670716, 190624, 190824]",87
967,"[190162, 190166, 670716, 1059712]",87
968,"[190162, 190166, 670716, 1059712, 190624]",87
13,"[190166, 271009, 190624, 246171, 1059712]",87
12,"[190166, 271009, 190624, 246171, 670716]",87
971,"[190162, 190166, 190824, 190624, 271009]",87
972,"[190162, 190166, 190824, 190624, 246171]",87
973,"[190162, 190166, 190824, 190624, 190629]",87
974,"[190162, 190166, 190824, 190624, 191040]",87
975,"[190162, 190166, 190824, 271009]",87
976,"[190162, 190166, 190824, 271009, 190624]",87
977,"[190162, 190166, 190824, 271009, 670716]",87
978,"[190162, 190166, 190824, 271009, 1059712]",87
979,"[190162, 190166, 190824, 271009, 190624]",87
11,"[190166, 271009, 190624, 246171]",87
902,"[190162, 190166, 190624, 190629, 246171]",87
33,"[190629, 246171, 254723]",87
34,"[190629, 246171, 254723]",87
820,"[190162, 190166, 246171, 190624]",87
822,"[190162, 190166, 246171, 190624, 670716]",87
823,"[190162, 190166, 246171, 190624, 1059712]",87
824,"[190162, 190166, 246171, 190624, 254723]",87
825,"[190162, 190166, 246171, 190624, 271009]",87
826,"[190162, 190166, 246171, 190624, 190629]",87
827,"[190162, 190166, 246171, 190624, 191040]",87
828,"[190162, 190166, 246171, 190624, 190824]",87
55,"[190166, 246171, 254723, 271009, 670716]",87
54,"[190166, 246171, 254723, 271009]",87
831,"[190162, 190166, 190629, 190624, 271009]",87
832,"[190162, 190166, 190629, 190624, 246171]",87
833,"[190162, 190166, 190629, 190624, 191040]",87
53,"[190166, 246171, 254723]",87
835,"[190162, 190166, 190629, 271009]",87
836,"[190162, 190166, 190629, 271009, 190624]",87
837,"[190162, 190166, 190629, 271009, 670716]",87
838,"[190162, 190166, 190629, 271009, 1059712]",87
839,"[190162, 190166, 190629, 271009, 190624]",87
840,"[190162, 190166, 190629, 246171]",87
841,"[190162, 190166, 190629, 246171, 190624]",87
842,"[190162, 190166, 190629, 246171, 271009]",87
